s2id,latitude,longitude,label,sublabel,iso3
8facbcb5,8.866,-79.67,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.863,-79.67,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.862,-79.67,Puerto Vacamonte,Panamá Oeste,PAN
8fb2420b,7.333,-80.344,Búcaro,Los Santos,PAN
8faca8c9,8.959,-79.536,Puerto Panamá,Panamá,PAN
8faca8d1,8.958,-79.526,Puerto Panamá,Panamá,PAN
8faca8cf,8.96,-79.532,Puerto Panamá,Panamá,PAN
8facbccd,8.865,-79.679,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.86,-79.668,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.862,-79.669,Puerto Vacamonte,Panamá Oeste,PAN
8fa576ff,8.363,-82.435,Puerto Pedregal,Chiriquí,PAN
8faca8d3,8.955,-79.521,Puerto Panamá,Panamá,PAN
8fa576fb,8.361,-82.438,Puerto Pedregal,Chiriquí,PAN
8faca8cf,8.959,-79.529,Puerto Panamá,Panamá,PAN
8faca8c9,8.958,-79.535,Puerto Panamá,Panamá,PAN
8fb2420b,7.333,-80.347,Búcaro,Los Santos,PAN
8fad815d,7.75,-80.167,Búcaro,Los Santos,PAN
8facaa65,9.022,-79.435,Puerto Juan Díaz,Panamá,PAN
8fae113f,7.926,-81.056,Puerto Mutis,Veraguas,PAN
8fae113f,7.926,-81.055,Puerto Mutis,Veraguas,PAN
8fa57653,8.374,-82.434,Puerto Pedregal,Chiriquí,PAN
8fad815d,7.749,-80.166,Búcaro,Los Santos,PAN
8facaa65,9.023,-79.436,Puerto Juan Díaz,Panamá,PAN
8fad815f,7.755,-80.168,Búcaro,Los Santos,PAN
8fad815d,7.752,-80.168,Búcaro,Los Santos,PAN
8faca8d3,8.957,-79.522,Puerto Panamá,Panamá,PAN
8faca8cd,8.957,-79.527,Puerto Panamá,Panamá,PAN
8facbccb,8.865,-79.673,Puerto Vacamonte,Panamá Oeste,PAN
8fb2420b,7.333,-80.345,Búcaro,Los Santos,PAN
8fb24275,7.332,-80.343,Búcaro,Los Santos,PAN
8fa57655,8.373,-82.435,Puerto Pedregal,Chiriquí,PAN
8fa576ff,8.364,-82.435,Puerto Pedregal,Chiriquí,PAN
8fa576ff,8.365,-82.434,Puerto Pedregal,Chiriquí,PAN
8facbcb5,8.865,-79.67,Puerto Vacamonte,Panamá Oeste,PAN
8facbcc9,8.863,-79.674,Puerto Vacamonte,Panamá Oeste,PAN
8faca8d1,8.958,-79.524,Puerto Panamá,Panamá,PAN
8facbcb7,8.861,-79.671,Puerto Vacamonte,Panamá Oeste,PAN
8faca8d1,8.96,-79.523,Puerto Panamá,Panamá,PAN
8faca8d1,8.958,-79.523,Puerto Panamá,Panamá,PAN
8fa57655,8.373,-82.436,Puerto Pedregal,Chiriquí,PAN
8faca8c9,8.959,-79.533,Puerto Panamá,Panamá,PAN
8facaa65,9.022,-79.434,Puerto Juan Díaz,Panamá,PAN
8facbcc9,8.86,-79.673,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb1,8.86,-79.667,Puerto Vacamonte,Panamá Oeste,PAN
8fa57653,8.374,-82.435,Puerto Pedregal,Chiriquí,PAN
8faca8cf,8.959,-79.53,Puerto Panamá,Panamá,PAN
8fa576ff,8.363,-82.436,Puerto Pedregal,Chiriquí,PAN
8faca8cf,8.96,-79.529,Puerto Panamá,Panamá,PAN
8faca8d1,8.958,-79.522,Puerto Panamá,Panamá,PAN
8fb2420b,7.33,-80.347,Búcaro,Los Santos,PAN
8fae113f,7.926,-81.054,Puerto Mutis,Veraguas,PAN
8e4df157,7.532,-78.202,Puerto Piña,Darién,PAN
8faca8d3,8.956,-79.521,Puerto Panamá,Panamá,PAN
8faca8c9,8.96,-79.533,Puerto Panamá,Panamá,PAN
8fb269e1,7.334,-80.344,Búcaro,Los Santos,PAN
8facaa6f,9.022,-79.437,Puerto Juan Díaz,Panamá,PAN
8faca8d1,8.96,-79.524,Puerto Panamá,Panamá,PAN
8fb2420b,7.33,-80.344,Búcaro,Los Santos,PAN
8facbccb,8.864,-79.674,Puerto Vacamonte,Panamá Oeste,PAN
8fb2420b,7.332,-80.344,Búcaro,Los Santos,PAN
8facbcb1,8.861,-79.665,Puerto Vacamonte,Panamá Oeste,PAN
8fb2420b,7.333,-80.348,Búcaro,Los Santos,PAN
8fa57655,8.372,-82.436,Puerto Pedregal,Chiriquí,PAN
8fad815d,7.751,-80.168,Búcaro,Los Santos,PAN
8fad815f,7.755,-80.167,Búcaro,Los Santos,PAN
8facaa65,9.024,-79.435,Puerto Juan Díaz,Panamá,PAN
8faca8c9,8.958,-79.536,Puerto Panamá,Panamá,PAN
8facbcb1,8.86,-79.665,Puerto Vacamonte,Panamá Oeste,PAN
8fa576fd,8.362,-82.437,Puerto Pedregal,Chiriquí,PAN
8fa57655,8.371,-82.437,Puerto Pedregal,Chiriquí,PAN
8faca8d3,8.957,-79.524,Puerto Panamá,Panamá,PAN
8fadbde3,8.036,-80.365,Boca Parita,Herrera,PAN
8fa576fd,8.362,-82.435,Puerto Pedregal,Chiriquí,PAN
8faca8c9,8.958,-79.534,Puerto Panamá,Panamá,PAN
8fad815d,7.752,-80.166,Búcaro,Los Santos,PAN
8faca8d3,8.956,-79.522,Puerto Panamá,Panamá,PAN
8faca8d1,8.959,-79.524,Puerto Panamá,Panamá,PAN
8faca8cf,8.959,-79.531,Puerto Panamá,Panamá,PAN
8faca8d3,8.957,-79.523,Puerto Panamá,Panamá,PAN
8fae113f,7.924,-81.054,Puerto Mutis,Veraguas,PAN
8fb2420b,7.331,-80.345,Búcaro,Los Santos,PAN
8fb2420b,7.333,-80.346,Búcaro,Los Santos,PAN
8faca8cf,8.96,-79.53,Puerto Panamá,Panamá,PAN
8facbccb,8.864,-79.675,Puerto Vacamonte,Panamá Oeste,PAN
8faca5f9,8.947,-79.565,La Boca,Panamá,PAN
8fb2420b,7.332,-80.346,Búcaro,Los Santos,PAN
8fb2420b,7.332,-80.347,Búcaro,Los Santos,PAN
8fb2420b,7.329,-80.345,Búcaro,Los Santos,PAN
8fadbdf7,8.023,-80.35,Boca Parita,Herrera,PAN
8facaa65,9.024,-79.434,Puerto Juan Díaz,Panamá,PAN
8facbcb7,8.862,-79.671,Puerto Vacamonte,Panamá Oeste,PAN
8fa576fb,8.362,-82.438,Puerto Pedregal,Chiriquí,PAN
8facbcc9,8.861,-79.673,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb5,8.865,-79.669,Puerto Vacamonte,Panamá Oeste,PAN
8faca8d5,8.953,-79.519,Puerto Panamá,Panamá,PAN
8fa57655,8.372,-82.434,Puerto Pedregal,Chiriquí,PAN
8faca8cf,8.958,-79.527,Puerto Panamá,Panamá,PAN
8fae113f,7.925,-81.054,Puerto Mutis,Veraguas,PAN
8fb2420b,7.331,-80.346,Búcaro,Los Santos,PAN
8facbcb7,8.86,-79.672,Puerto Vacamonte,Panamá Oeste,PAN
8facbcc9,8.861,-79.674,Puerto Vacamonte,Panamá Oeste,PAN
8faca8cb,8.957,-79.534,Puerto Panamá,Panamá,PAN
8fad815f,7.754,-80.167,Búcaro,Los Santos,PAN
8faca8d3,8.957,-79.526,Puerto Panamá,Panamá,PAN
8fb269e1,7.334,-80.347,Búcaro,Los Santos,PAN
8facbcb1,8.862,-79.667,Puerto Vacamonte,Panamá Oeste,PAN
8fad8167,7.75,-80.165,Búcaro,Los Santos,PAN
8fa57655,8.371,-82.436,Puerto Pedregal,Chiriquí,PAN
8facbcc9,8.862,-79.674,Puerto Vacamonte,Panamá Oeste,PAN
8e54a3cd,9.124,-79.065,Puerto Coquira,Panamá,PAN
8facbcb5,8.864,-79.672,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.861,-79.672,Puerto Vacamonte,Panamá Oeste,PAN
8facbcc9,8.862,-79.675,Puerto Vacamonte,Panamá Oeste,PAN
8fae113f,7.925,-81.055,Puerto Mutis,Veraguas,PAN
8fad815d,7.751,-80.166,Búcaro,Los Santos,PAN
8facbcb1,8.861,-79.666,Puerto Vacamonte,Panamá Oeste,PAN
8faca8cf,8.958,-79.528,Puerto Panamá,Panamá,PAN
8faca8cf,8.959,-79.528,Puerto Panamá,Panamá,PAN
8fad961f,8.017,-80.345,Boca Parita,Herrera,PAN
8fad815f,7.757,-80.168,Búcaro,Los Santos,PAN
8facbccb,8.864,-79.673,Puerto Vacamonte,Panamá Oeste,PAN
8faca8cf,8.96,-79.527,Puerto Panamá,Panamá,PAN
8faca8cf,8.96,-79.531,Puerto Panamá,Panamá,PAN
8fa50319,8.272,-82.857,Puerto Armuelles,Chiriquí,PAN
8fad815f,7.754,-80.168,Búcaro,Los Santos,PAN
8faca8cf,8.959,-79.527,Puerto Panamá,Panamá,PAN
8fae113f,7.924,-81.055,Puerto Mutis,Veraguas,PAN
8facaa65,9.022,-79.436,Puerto Juan Díaz,Panamá,PAN
8faca8d1,8.959,-79.523,Puerto Panamá,Panamá,PAN
8e54a233,9.124,-79.064,Puerto Coquira,Panamá,PAN
8e54a233,9.125,-79.063,Puerto Coquira,Panamá,PAN
8faca8d3,8.957,-79.525,Puerto Panamá,Panamá,PAN
8fb2420b,7.33,-80.345,Búcaro,Los Santos,PAN
8fa5036f,8.273,-82.836,Puerto Armuelles,Chiriquí,PAN
8fad815d,7.752,-80.167,Búcaro,Los Santos,PAN
8fb269e1,7.334,-80.348,Búcaro,Los Santos,PAN
8fb269e1,7.335,-80.346,Búcaro,Los Santos,PAN
8fa576ff,8.363,-82.437,Puerto Pedregal,Chiriquí,PAN
8fa57655,8.372,-82.435,Puerto Pedregal,Chiriquí,PAN
8facbcb7,8.861,-79.668,Puerto Vacamonte,Panamá Oeste,PAN
8fa576f9,8.363,-82.438,Puerto Pedregal,Chiriquí,PAN
8faca8cf,8.96,-79.528,Puerto Panamá,Panamá,PAN
8fadbdd7,8.057,-80.362,Boca Parita,Herrera,PAN
8fa57655,8.372,-82.437,Puerto Pedregal,Chiriquí,PAN
8fad815f,7.756,-80.168,Búcaro,Los Santos,PAN
8facbcb7,8.86,-79.671,Puerto Vacamonte,Panamá Oeste,PAN
8fad815f,7.756,-80.169,Búcaro,Los Santos,PAN
8fad815d,7.749,-80.167,Búcaro,Los Santos,PAN
8fad815f,7.757,-80.167,Búcaro,Los Santos,PAN
8facbcb5,8.864,-79.67,Puerto Vacamonte,Panamá Oeste,PAN
8facbcc9,8.86,-79.674,Puerto Vacamonte,Panamá Oeste,PAN
8fae113f,7.925,-81.056,Puerto Mutis,Veraguas,PAN
8fb2420b,7.332,-80.348,Búcaro,Los Santos,PAN
8facbcb1,8.861,-79.667,Puerto Vacamonte,Panamá Oeste,PAN
8fad815f,7.756,-80.167,Búcaro,Los Santos,PAN
8faca8d3,8.956,-79.523,Puerto Panamá,Panamá,PAN
8fa576ff,8.367,-82.434,Puerto Pedregal,Chiriquí,PAN
8fb2420b,7.332,-80.345,Búcaro,Los Santos,PAN
8fadbe03,8.025,-80.373,Boca Parita,Herrera,PAN
8faca8d7,8.959,-79.52,Puerto Panamá,Panamá,PAN
8fb2420b,7.332,-80.349,Búcaro,Los Santos,PAN
8facbcb5,8.864,-79.669,Puerto Vacamonte,Panamá Oeste,PAN
8fa576ff,8.364,-82.434,Puerto Pedregal,Chiriquí,PAN
8facbcb7,8.862,-79.672,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.86,-79.669,Puerto Vacamonte,Panamá Oeste,PAN
8fad815d,7.751,-80.167,Búcaro,Los Santos,PAN
8fad815f,7.753,-80.167,Búcaro,Los Santos,PAN
8fad815f,7.753,-80.168,Búcaro,Los Santos,PAN
8fa576ff,8.365,-82.435,Puerto Pedregal,Chiriquí,PAN
8facaa65,9.023,-79.435,Puerto Juan Díaz,Panamá,PAN
8facbcb7,8.86,-79.67,Puerto Vacamonte,Panamá Oeste,PAN
8facbcb7,8.861,-79.669,Puerto Vacamonte,Panamá Oeste,PAN
8facbcc9,8.861,-79.675,Puerto Vacamonte,Panamá Oeste,PAN
8fa576ff,8.367,-82.433,Puerto Pedregal,Chiriquí,PAN
8facaa65,9.023,-79.434,Puerto Juan Díaz,Panamá,PAN
8faca8c9,8.959,-79.534,Puerto Panamá,Panamá,PAN
8fa576ff,8.367,-82.432,Puerto Pedregal,Chiriquí,PAN
8fb2420b,7.331,-80.347,Búcaro,Los Santos,PAN
8fa57655,8.373,-82.434,Puerto Pedregal,Chiriquí,PAN
8facbcb7,8.863,-79.669,Puerto Vacamonte,Panamá Oeste,PAN
8faca8d1,8.958,-79.525,Puerto Panamá,Panamá,PAN
8faca8c9,8.959,-79.535,Puerto Panamá,Panamá,PAN
8fad815d,7.75,-80.166,Búcaro,Los Santos,PAN
8faca8cf,8.959,-79.532,Puerto Panamá,Panamá,PAN
8facaa65,9.021,-79.436,Puerto Juan Díaz,Panamá,PAN
8facbccd,8.866,-79.68,Puerto Vacamonte,Panamá Oeste,PAN
8facaa65,9.021,-79.435,Puerto Juan Díaz,Panamá,PAN
8facbcc9,8.863,-79.675,Puerto Vacamonte,Panamá Oeste,PAN
8facbccd,8.866,-79.679,Puerto Vacamonte,Panamá Oeste,PAN
8fb2420b,7.33,-80.346,Búcaro,Los Santos,PAN
8fad900d,7.863583849448564,-80.28657505102946,Búcaro,Los Santos,PAN
8fafbccf,8.215222808301577,-81.8084467252163,Puerto Remedios,Chiriquí,PAN
8fadc9ab,8.24276584142602,-80.49800220842384,Puerto Aguadulce,Coclé,PAN
8faca2cd,8.870710738066274,-79.7087528430212,Puerto Caimito,Panamá Oeste,PAN
8facaf4f,8.945200996111987,-79.54755933570641,Chorrillo,Panamá,PAN
